pid,rating
2137g,2200
2138c2,2000
2138d,2600
2138e1,3100
2138e2,3100
2140d,2000
2140e1,2200
2140e2,2500
2140f,2900
2143d2,2200
2143e,2400
2143f,2700
2144e1,2200
2144e2,2500
2144f,2700
2145e,2100
2145f,2500
2145g,2900
2146d2,2000
2146e,2300
2146f,2900
2147e,2300
2147f,2800
2147g,3100
2149g,2100
2154c2,2000
2154e,2500
2154f1,2700
2155e,2200
2155f,2800
2156e,2500
2156f1,2200
2156f2,3000
2157f,2400
2157g,2800
2158d,2000
2158e,2600
2158f1,2600
2158f2,3000
2159b,2100
2159c,2300
2159d1,2500
2161d,2100
2161e,2400
2161f,3000
2162f,2100
2162g,2200
2162h,2900
2163d1,2100
2164e,2300
2164f1,2600
2164f2,2900
2165c,2000
2165d,2500
2169d2,2100
2169e,2400
2169f,2700
2170d,2200
2170e,2100
2170f,2600
2171e,2000
2171f,1600
2171g,2000
2171h,2400
2173e,2200
2174c1,2400
2174c2,2500
2174e1,3100
2174f,2800
2176e,2400
2176f,2400
2180e,2300
2180f1,2800
