pid,source,ac,total,pass@1,difficulty
10003,problems,0,20,0.00,Hard
10007,problems,0,20,0.00,Hard
10094,problems,0,20,0.00,Hard
10539,problems,0,20,0.00,Hard
11627,problems,0,20,0.00,Hard
11723,problems,0,20,0.00,Hard
12302,problems,0,20,0.00,Hard
12329,problems,0,20,0.00,Hard
1357,problems,0,20,0.00,Hard
1812,problems,0,20,0.00,Hard
1815,problems,0,20,0.00,Hard
1823,problems,0,20,0.00,Hard
1874,problems,0,20,0.00,Hard
1876,problems,0,20,0.00,Hard
1884,problems,0,20,0.00,Hard
2210,problems,0,20,0.00,Hard
2550,problems,0,20,0.00,Hard
2563,problems,0,20,0.00,Hard
2610,problems,0,20,0.00,Hard
4805,problems,0,20,0.00,Hard
4878,problems,0,20,0.00,Hard
4884,problems,0,20,0.00,Hard
6546,problems,0,20,0.00,Hard
8004,problems,0,20,0.00,Hard
8012,problems,0,20,0.00,Hard
8185,problems,0,20,0.00,Hard
857,problems,0,20,0.00,Hard
887,problems,0,20,0.00,Hard
962,problems,0,20,0.00,Hard
2147e,cf_problems,0,20,0.00,Hard
2157g,cf_problems,0,20,0.00,Hard
2171f,cf_problems,0,20,0.00,Hard
1813,problems,1,20,0.05,Hard
1824,problems,1,20,0.05,Hard
8559,problems,1,20,0.05,Hard
964,problems,1,20,0.05,Hard
10542,problems,2,20,0.10,Hard
10688,problems,2,20,0.10,Hard
11622,problems,2,20,0.10,Hard
1840,problems,2,20,0.10,Hard
4881,problems,2,20,0.10,Hard
11630,problems,3,20,0.15,Hard
1825,problems,3,20,0.15,Hard
1844,problems,3,20,0.15,Hard
4887,problems,3,20,0.15,Hard
6545,problems,3,20,0.15,Hard
10037,problems,4,20,0.20,Hard
6540,problems,4,20,0.20,Hard
2138e2,cf_problems,4,20,0.20,Hard
10081,problems,5,20,0.25,Hard
4793,problems,5,20,0.25,Hard
6537,problems,5,20,0.25,Hard
2173e,cf_problems,5,20,0.25,Hard
2157f,cf_problems,6,20,0.30,Hard
